x,z,level,in_memory,status,full_status,accessible_ready,ticking_ready,entity_ticking_ready,ticket,spawning,entity_count,block_entity_count
-15,-13,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -13])] at 9265",true,1,0
-15,-9,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -9])] at 9265",true,0,0
-14,-13,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -13])] at 9265",true,1,0
-14,-12,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -12])] at 9265",true,0,0
-14,-11,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -11])] at 9265",true,1,0
-14,-10,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -10])] at 9265",true,0,0
-14,-9,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -9])] at 9265",true,0,0
-19,-14,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -14])] at 9265",true,0,0
-19,-13,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -13])] at 9265",true,0,0
-19,-12,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -12])] at 9265",true,0,0
-18,-14,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -14])] at 9265",true,0,0
-17,-14,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -14])] at 9265",true,0,0
-19,-11,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -11])] at 9265",true,1,0
-19,-10,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -10])] at 9263",true,3,0
-16,-14,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -14])] at 9265",true,0,0
-15,-14,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -14])] at 9265",true,0,0
-19,-9,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -9])] at 9265",true,5,0
-19,-8,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -8])] at 9265",true,1,0
-18,-8,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -8])] at 9265",true,1,0
-17,-8,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -8])] at 9265",true,0,0
-16,-8,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -8])] at 9265",true,0,0
-15,-8,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -8])] at 9265",true,2,0
-14,-14,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -14])] at 9265",true,0,0
-14,-8,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -8])] at 9265",true,0,0
-13,-14,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -14])] at 9265",true,0,0
-13,-13,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -13])] at 9265",true,1,0
-13,-12,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -12])] at 9265",true,3,0
-13,-11,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -11])] at 9265",true,0,0
-13,-10,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -10])] at 9265",true,0,0
-13,-9,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -9])] at 9265",true,0,0
-13,-8,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -8])] at 9265",true,5,0
-20,-15,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -15])] at 9265",true,0,0
-20,-14,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -14])] at 9265",true,0,0
-20,-13,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -13])] at 9265",true,0,0
-19,-15,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -15])] at 9265",true,0,0
-18,-15,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -15])] at 9265",true,0,0
-20,-12,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -12])] at 9265",true,1,0
-20,-11,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -11])] at 9265",true,2,1
-17,-15,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -15])] at 9265",true,1,0
-16,-15,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -15])] at 9265",true,1,0
-20,-10,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -10])] at 9265",true,0,0
-20,-9,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -9])] at 9265",true,4,0
-15,-15,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -15])] at 9265",true,0,0
-14,-15,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -15])] at 9265",true,0,0
-20,-8,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -8])] at 9265",true,0,0
-20,-7,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -7])] at 9265",true,0,0
-19,-7,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -7])] at 9265",true,0,0
-18,-7,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -7])] at 9265",true,0,0
-17,-7,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -7])] at 9265",true,1,0
-16,-7,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -7])] at 9265",true,0,0
-15,-7,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -7])] at 9265",true,0,0
-14,-7,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -7])] at 9265",true,4,0
-13,-15,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -15])] at 9265",true,0,0
-13,-7,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -7])] at 9265",true,0,0
-12,-15,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -15])] at 9265",false,0,0
-12,-14,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -14])] at 9265",false,0,0
-12,-13,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -13])] at 9265",true,0,0
-12,-12,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -12])] at 9265",true,0,0
-12,-11,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -11])] at 9265",true,0,0
-12,-10,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -10])] at 9265",true,0,0
-12,-9,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -9])] at 9265",true,0,0
-12,-8,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -8])] at 9265",true,0,0
-12,-7,26,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -7])] at 9265",true,1,0
-21,-16,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -16])] at 9265",true,0,0
-21,-15,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -15])] at 9265",true,0,0
-21,-14,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -14])] at 9265",true,0,0
-20,-16,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -16])] at 9265",true,1,0
-19,-16,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -16])] at 9265",true,0,0
-21,-13,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -13])] at 9265",true,0,0
-21,-12,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -12])] at 9265",true,3,0
-18,-16,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -16])] at 9265",true,1,0
-17,-16,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -16])] at 9265",true,1,0
-21,-11,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -11])] at 9265",true,0,0
-21,-10,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -10])] at 9265",true,0,0
-16,-16,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -16])] at 9265",true,3,2
-15,-16,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -16])] at 9265",true,0,0
-21,-9,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -9])] at 9265",true,0,0
-21,-8,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -8])] at 9265",true,2,1
-14,-16,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -16])] at 9265",true,0,0
-13,-16,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -16])] at 9265",false,0,0
-21,-7,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -7])] at 9265",true,0,0
-21,-6,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -6])] at 9265",true,0,0
-20,-6,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -6])] at 9265",true,1,0
-19,-6,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -6])] at 9265",true,0,0
-18,-6,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -6])] at 9265",true,0,0
-17,-6,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -6])] at 9265",true,0,0
-16,-6,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -6])] at 9265",true,0,0
-15,-6,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -6])] at 9265",true,1,2
-14,-6,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -6])] at 9265",true,2,0
-13,-6,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -6])] at 9265",true,1,0
-12,-16,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -16])] at 9265",false,0,0
-12,-6,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -6])] at 9265",false,0,0
-11,-16,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -16])] at 9265",false,0,0
-11,-15,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -15])] at 9265",false,4,0
-11,-14,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -14])] at 9265",false,0,0
-11,-13,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -13])] at 9265",false,0,0
-11,-12,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -12])] at 9265",false,0,0
-11,-11,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -11])] at 9265",false,4,0
-11,-10,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -10])] at 9265",false,0,0
-11,-9,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -9])] at 9265",false,0,0
-11,-8,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -8])] at 9265",false,0,0
-11,-7,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -7])] at 9265",false,0,0
-11,-6,27,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -6])] at 9265",false,0,0
-22,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -17])] at 9265",true,0,0
-22,-16,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -16])] at 9265",true,0,0
-22,-15,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -15])] at 9265",true,1,0
-21,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -17])] at 9265",true,0,0
-20,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -17])] at 9265",true,0,0
-22,-14,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -14])] at 9265",true,1,0
-22,-13,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -13])] at 9265",true,0,0
-19,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -17])] at 9265",true,0,0
-18,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -17])] at 9265",true,2,0
-22,-12,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -12])] at 9265",true,12,0
-22,-11,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -11])] at 9265",true,0,0
-17,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -17])] at 9265",true,2,1
-16,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -17])] at 9265",true,1,0
-22,-10,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -10])] at 9265",true,0,0
-22,-9,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -9])] at 9265",true,0,0
-15,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -17])] at 9265",false,0,2
-14,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -17])] at 9265",false,0,0
-22,-8,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -8])] at 9265",true,0,0
-22,-7,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -7])] at 9265",true,0,0
-13,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -17])] at 9265",false,0,0
-12,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -17])] at 9265",false,0,0
-22,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -6])] at 9265",true,0,0
-22,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -5])] at 9265",true,0,0
-21,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -5])] at 9265",true,0,0
-20,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -5])] at 9265",true,0,0
-19,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -5])] at 9265",true,0,0
-18,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -5])] at 9265",true,0,0
-17,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -5])] at 9265",true,0,0
-16,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -5])] at 9265",true,0,0
-15,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -5])] at 9265",true,0,0
-14,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -5])] at 9265",true,1,0
-13,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -5])] at 9265",true,0,0
-12,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -5])] at 9265",false,0,0
-11,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -17])] at 9265",false,0,0
-11,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -5])] at 9265",false,0,0
-10,-17,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -17])] at 12162",false,0,0
-10,-16,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -16])] at 12162",false,0,0
-10,-15,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -15])] at 12162",false,1,0
-10,-14,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -14])] at 12162",false,0,0
-10,-13,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -13])] at 12162",false,0,0
-10,-12,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -12])] at 12162",false,0,0
-10,-11,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -11])] at 12161",false,0,0
-10,-10,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -10])] at 12162",false,0,0
-10,-9,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -9])] at 12162",false,0,0
-10,-8,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -8])] at 12162",false,0,0
-10,-7,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -7])] at 12162",false,0,0
-10,-6,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -6])] at 12162",false,0,0
-10,-5,28,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -5])] at 12162",false,0,0
-23,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -18])] at 9265",false,0,0
-23,-17,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -17])] at 9265",false,0,0
-23,-16,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -16])] at 9265",true,2,0
-22,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -18])] at 9265",false,0,0
-21,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -18])] at 9265",false,0,0
-23,-15,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -15])] at 9265",true,0,0
-23,-14,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -14])] at 9265",true,3,0
-20,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -18])] at 9265",false,0,0
-19,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -18])] at 9265",false,0,0
-23,-13,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -13])] at 9265",true,2,0
-23,-12,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -12])] at 9265",true,0,0
-18,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -18])] at 9265",false,0,0
-17,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -18])] at 9265",false,0,0
-23,-11,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -11])] at 9265",true,0,0
-23,-10,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -10])] at 9265",true,0,0
-16,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -18])] at 9265",false,0,0
-15,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -18])] at 9265",false,0,1
-23,-9,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -9])] at 9265",true,0,0
-23,-8,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -8])] at 9265",true,0,0
-14,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -18])] at 9265",false,1,1
-13,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -18])] at 9265",false,0,0
-23,-7,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -7])] at 9265",true,0,0
-23,-6,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -6])] at 9265",true,0,0
-12,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -18])] at 9265",false,0,0
-11,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -18])] at 9265",false,0,0
-23,-5,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -5])] at 9265",true,0,0
-23,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-23, -4])] at 9265",true,0,1
-22,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-22, -4])] at 9265",true,0,0
-21,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-21, -4])] at 9265",true,1,0
-20,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -4])] at 9265",true,1,0
-19,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -4])] at 9265",true,0,0
-18,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -4])] at 9265",true,0,0
-17,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -4])] at 9265",true,0,0
-16,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -4])] at 9265",true,1,0
-15,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -4])] at 9265",true,3,0
-14,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-14, -4])] at 9265",true,0,0
-13,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-13, -4])] at 9265",false,0,0
-12,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-12, -4])] at 9265",false,0,0
-11,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-11, -4])] at 9265",false,0,0
-10,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -18])] at 12161",false,0,3
-10,-4,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-10, -4])] at 12162",false,0,0
-9,-18,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,0
-9,-17,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,0
-9,-16,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,0
-9,-15,29,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[unknown 33 ([-9, -15])] at 12695",false,1,0
-9,-14,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,1,0
-9,-13,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,0
-9,-12,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,0
-9,-11,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,0
-9,-10,29,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,0
